FBtr0089428	FBgn0005278
FBtr0089429	FBgn0005278
FBtr0089437	FBgn0005278
FBtr0089435	FBgn0005278
FBtr0089436	FBgn0005278
FBtr0308091	FBgn0005278
FBtr0303298	FBgn0261812
FBtr0112444	FBgn0085279
FBtr0071368	FBgn0030142
FBtr0083137	FBgn0051155
FBtr0070174	FBgn0053082
FBtr0077192	FBgn0000709
FBtr0080589	FBgn0028939
FBtr0080588	FBgn0028939
FBtr0088954	FBgn0050499
FBtr0088348	FBgn0033507
FBtr0085946	FBgn0051703
FBtr0085992	FBgn0263144
FBtr0085993	FBgn0263144
FBtr0080662	FBgn0250844
FBtr0089560	FBgn0034276
FBtr0074711	FBgn0031020
FBtr0079040	FBgn0053113
FBtr0079041	FBgn0053113
FBtr0079042	FBgn0053113
FBtr0079043	FBgn0053113
FBtr0079044	FBgn0053113
FBtr0079038	FBgn0053113
FBtr0079039	FBgn0053113
FBtr0301538	FBgn0053113
FBtr0301539	FBgn0053113
FBtr0301540	FBgn0053113
FBtr0301541	FBgn0053113
FBtr0080758	FBgn0051780
FBtr0087488	FBgn0033936
FBtr0086531	FBgn0040273
FBtr0087278	FBgn0053139
FBtr0073717	FBgn0030441
FBtr0079173	FBgn0031758
FBtr0079174	FBgn0031758
FBtr0309286	FBgn0031758
FBtr0070238	FBgn0024366
FBtr0077955	FBgn0031302
FBtr0301744	FBgn0260967
FBtr0079999	FBgn0032225
FBtr0075307	FBgn0036677
FBtr0302392	FBgn0261501
FBtr0303377	FBgn0051664
FBtr0072845	FBgn0035300
FBtr0110808	FBgn0083950
FBtr0301070	FBgn0083950
FBtr0081233	FBgn0032763
FBtr0085136	FBgn0039480
FBtr0081016	FBgn0015609
FBtr0081019	FBgn0015609
FBtr0081013	FBgn0015609
FBtr0081017	FBgn0015609
FBtr0081014	FBgn0015609
FBtr0081020	FBgn0015609
FBtr0081015	FBgn0015609
FBtr0081018	FBgn0015609
FBtr0100313	FBgn0015609
FBtr0100314	FBgn0015609
FBtr0100315	FBgn0015609
FBtr0100316	FBgn0015609
FBtr0307179	FBgn0052792
FBtr0307180	FBgn0052792
FBtr0072327	FBgn0035047
FBtr0072328	FBgn0035047
FBtr0306655	FBgn0035047
FBtr0076935	FBgn0035727
FBtr0074848	FBgn0052227
FBtr0080722	FBgn0010422
FBtr0300637	FBgn0260229
FBtr0088241	FBgn0050016
FBtr0113164	FBgn0036202
FBtr0113165	FBgn0036202
FBtr0113166	FBgn0036202
FBtr0080163	FBgn0015756
FBtr0080164	FBgn0015756
FBtr0076333	FBgn0053205
FBtr0076336	FBgn0053205
FBtr0076331	FBgn0053205
FBtr0076334	FBgn0053205
FBtr0076335	FBgn0053205
FBtr0076332	FBgn0053205
FBtr0100385	FBgn0053205
FBtr0100386	FBgn0053205
FBtr0085130	FBgn0039491
FBtr0083865	FBgn0045471
FBtr0085565	FBgn0015542
FBtr0114597	FBgn0015542
FBtr0088257	FBgn0005586
FBtr0084327	FBgn0024958
FBtr0091534	FBgn0053557
FBtr0082644	FBgn0042207
FBtr0079004	FBgn0260470
FBtr0079005	FBgn0260470
FBtr0301527	FBgn0033389
FBtr0072723	FBgn0035211
FBtr0078069	FBgn0031268
FBtr0085365	FBgn0039633
FBtr0083140	FBgn0038299
FBtr0082511	FBgn0260741
FBtr0306929	FBgn0263040
FBtr0301438	FBgn0260795
FBtr0076260	FBgn0036096
FBtr0110885	FBgn0035815
FBtr0301205	FBgn0035815
FBtr0070407	FBgn0040392
FBtr0308937	FBgn0040392
FBtr0082737	FBgn0038130
FBtr0112761	FBgn0085484
FBtr0084782	FBgn0039280
FBtr0306923	FBgn0263024
FBtr0085843	FBgn0005632
FBtr0085844	FBgn0005632
FBtr0307547	FBgn0005632
FBtr0307548	FBgn0005632
FBtr0307549	FBgn0005632
FBtr0307550	FBgn0005632
FBtr0078445	FBgn0037138
FBtr0078446	FBgn0037138
FBtr0078447	FBgn0037138
FBtr0303031	FBgn0037138
FBtr0079787	FBgn0032079
FBtr0113029	FBgn0032079
FBtr0303885	FBgn0032079
FBtr0070670	FBgn0004832
FBtr0301066	FBgn0031384
FBtr0301067	FBgn0031384
FBtr0301068	FBgn0031384
FBtr0086821	FBgn0050325
FBtr0074815	FBgn0031066
FBtr0074816	FBgn0031066
FBtr0074817	FBgn0031066
FBtr0308683	FBgn0031066
FBtr0300837	FBgn0028844
FBtr0085795	FBgn0003268
FBtr0289953	FBgn0015569
FBtr0305910	FBgn0015569
FBtr0305911	FBgn0015569
FBtr0070341	FBgn0025631
FBtr0303043	FBgn0025631
FBtr0303044	FBgn0025631
FBtr0303045	FBgn0025631
FBtr0083814	FBgn0038735
FBtr0083813	FBgn0038735
FBtr0301116	FBgn0038735
FBtr0083723	FBgn0038662
FBtr0085088	FBgn0004510
FBtr0089053	FBgn0044011
FBtr0072161	FBgn0034957
FBtr0085568	FBgn0039752
FBtr0085569	FBgn0039752
FBtr0077691	FBgn0031466
FBtr0077692	FBgn0031466
FBtr0111010	FBgn0015949
FBtr0086483	FBgn0015949
FBtr0086484	FBgn0015949
FBtr0300624	FBgn0260224
FBtr0074024	FBgn0030622
FBtr0078805	FBgn0250746
FBtr0078806	FBgn0250746
FBtr0070970	FBgn0029906
FBtr0087021	FBgn0034154
FBtr0077056	FBgn0020640
FBtr0299853	FBgn0259238
FBtr0299854	FBgn0259238
FBtr0299855	FBgn0259238
FBtr0299856	FBgn0259238
FBtr0303157	FBgn0259238
FBtr0086999	FBgn0050458
FBtr0112767	FBgn0250833
FBtr0303714	FBgn0053772
FBtr0077044	FBgn0035669
FBtr0079766	FBgn0032088
FBtr0072204	FBgn0034948
FBtr0088073	FBgn0050035
FBtr0088074	FBgn0050035
FBtr0078708	FBgn0037354
FBtr0080764	FBgn0001990
FBtr0083756	FBgn0038701
FBtr0077361	FBgn0031197
FBtr0299994	FBgn0259728
FBtr0079482	FBgn0031944
FBtr0079483	FBgn0031944
FBtr0300511	FBgn0259170
FBtr0300512	FBgn0259170
FBtr0299632	FBgn0259170
FBtr0299633	FBgn0259170
FBtr0300513	FBgn0259170
FBtr0300514	FBgn0259170
FBtr0300515	FBgn0259170
FBtr0300516	FBgn0259170
FBtr0076991	FBgn0020642
FBtr0084713	FBgn0039246
FBtr0077519	FBgn0031537
FBtr0301273	FBgn0260770
FBtr0301274	FBgn0260770
FBtr0070901	FBgn0029864
FBtr0112955	FBgn0029864
FBtr0085489	FBgn0039713
FBtr0306645	FBgn0039713
FBtr0304633	FBgn0262355
FBtr0091884	FBgn0053880
FBtr0078336	FBgn0259785
FBtr0112564	FBgn0085383
FBtr0304916	FBgn0085383
FBtr0304917	FBgn0085383
FBtr0076119	FBgn0036203
FBtr0078591	FBgn0037409
FBtr0073737	FBgn0030460
FBtr0074992	FBgn0036859
FBtr0083198	FBgn0051294
FBtr0301554	FBgn0261872
FBtr0091474	FBgn0261872
FBtr0100596	FBgn0261872
FBtr0080143	FBgn0027363
FBtr0075381	FBgn0036615
FBtr0082955	FBgn0038239
FBtr0091868	FBgn0053864
FBtr0071329	FBgn0052703
FBtr0302965	FBgn0052703
FBtr0302966	FBgn0052703
FBtr0072760	FBgn0013755
FBtr0075839	FBgn0040813
FBtr0072618	FBgn0035178
FBtr0113121	FBgn0035178
FBtr0071486	FBgn0030186
FBtr0299880	FBgn0250816
FBtr0299881	FBgn0250816
FBtr0299882	FBgn0250816
FBtr0301725	FBgn0250816
FBtr0076427	FBgn0036007
FBtr0076428	FBgn0036007
FBtr0077715	FBgn0031456
FBtr0081628	FBgn0026563
FBtr0077815	FBgn0031379
FBtr0082554	FBgn0051358
FBtr0087649	FBgn0033868
FBtr0089732	FBgn0033285
FBtr0076130	FBgn0036194
FBtr0076131	FBgn0036194
FBtr0306121	FBgn0262845
FBtr0071548	FBgn0001133
FBtr0077618	FBgn0031467
FBtr0075966	FBgn0036299
FBtr0084440	FBgn0039102
FBtr0071308	FBgn0030104
FBtr0112420	FBgn0085256
FBtr0087920	FBgn0033728
FBtr0305288	FBgn0052709
FBtr0078655	FBgn0010403
FBtr0290271	FBgn0019960
FBtr0085676	FBgn0039790
FBtr0085677	FBgn0039790
FBtr0085678	FBgn0039790
FBtr0085673	FBgn0039790
FBtr0085674	FBgn0039790
FBtr0085675	FBgn0039790
FBtr0302605	FBgn0039790
FBtr0302606	FBgn0039790
FBtr0302607	FBgn0039790
FBtr0302608	FBgn0039790
FBtr0302609	FBgn0039790
FBtr0302610	FBgn0039790
FBtr0302313	FBgn0039790
FBtr0073777	FBgn0030482
FBtr0071771	FBgn0034708
FBtr0071772	FBgn0034708
FBtr0070689	FBgn0029719
FBtr0086671	FBgn0063497
FBtr0078752	FBgn0037344
FBtr0075219	FBgn0036725
FBtr0302993	FBgn0051270
FBtr0074687	FBgn0052537
FBtr0081193	FBgn0032723
FBtr0079762	FBgn0032086
FBtr0075586	FBgn0004590
FBtr0072759	FBgn0035248
FBtr0114498	FBgn0031324
FBtr0082829	FBgn0260464
FBtr0091837	FBgn0053833
FBtr0075827	FBgn0086916
FBtr0081822	FBgn0037537
FBtr0290325	FBgn0037537
FBtr0091810	FBgn0053806
FBtr0071714	FBgn0034658
FBtr0070894	FBgn0015818
FBtr0072528	FBgn0027587
FBtr0084801	FBgn0020626
FBtr0113219	FBgn0261808
FBtr0113218	FBgn0261808
FBtr0113220	FBgn0261808
FBtr0081194	FBgn0010309
FBtr0302561	FBgn0010309
FBtr0306313	FBgn0262897
FBtr0084402	FBgn0004395
FBtr0084403	FBgn0004395
FBtr0305571	FBgn0004395
FBtr0305572	FBgn0004395
FBtr0305573	FBgn0004395
FBtr0080128	FBgn0032284
FBtr0077574	FBgn0260817
FBtr0082321	FBgn0051391
FBtr0075941	FBgn0036316
FBtr0075942	FBgn0036316
FBtr0075943	FBgn0036316
FBtr0112384	FBgn0085220
FBtr0088058	FBgn0033663
FBtr0074617	FBgn0030941
FBtr0074384	FBgn0030817
FBtr0074385	FBgn0030817
FBtr0290020	FBgn0030817
FBtr0079414	FBgn0031897
FBtr0110799	FBgn0031897
FBtr0091778	FBgn0053777
FBtr0084522	FBgn0039126
FBtr0085731	FBgn0039812
FBtr0087796	FBgn0033789
FBtr0086284	FBgn0034504
FBtr0086285	FBgn0034504
FBtr0086283	FBgn0034504
FBtr0072786	FBgn0035280
FBtr0299562	FBgn0035280
FBtr0079625	FBgn0032006
FBtr0079626	FBgn0032006
FBtr0079628	FBgn0032006
FBtr0079629	FBgn0032006
FBtr0079630	FBgn0032006
FBtr0301338	FBgn0032006
FBtr0301339	FBgn0032006
FBtr0302147	FBgn0032006
FBtr0302148	FBgn0032006
FBtr0303108	FBgn0032006
FBtr0303109	FBgn0032006
FBtr0081307	FBgn0042129
FBtr0300846	FBgn0028850
FBtr0080705	FBgn0001978
FBtr0080706	FBgn0001978
FBtr0072457	FBgn0003715
FBtr0072458	FBgn0003715
FBtr0100126	FBgn0003715
FBtr0081707	FBgn0037429
FBtr0301493	FBgn0037429
FBtr0076045	FBgn0036233
FBtr0083183	FBgn0003483
FBtr0302900	FBgn0261586
FBtr0078924	FBgn0051525
FBtr0079576	FBgn0031988
FBtr0074941	FBgn0010417
FBtr0088909	FBgn0033192
FBtr0112417	FBgn0085253
FBtr0073275	FBgn0004516
FBtr0073276	FBgn0004516
FBtr0073277	FBgn0004516
FBtr0080325	FBgn0000588
FBtr0081428	FBgn0032899
FBtr0078536	FBgn0037186
FBtr0113188	FBgn0037186
FBtr0112466	FBgn0085300
FBtr0072354	FBgn0035011
FBtr0113421	FBgn0052068
FBtr0074075	FBgn0026433
FBtr0100271	FBgn0026433
FBtr0076161	FBgn0036142
FBtr0112756	FBgn0085479
FBtr0076214	FBgn0014368
FBtr0072937	FBgn0035359
FBtr0079996	FBgn0051715
FBtr0070952	FBgn0025815
FBtr0073922	FBgn0030556
FBtr0087896	FBgn0033712
FBtr0075025	FBgn0036843
FBtr0088198	FBgn0033572
FBtr0113065	FBgn0033572
FBtr0087191	FBgn0034093
FBtr0080586	FBgn0028936
FBtr0302501	FBgn0028936
FBtr0070912	FBgn0029873
FBtr0085837	FBgn0039870
FBtr0073406	FBgn0030245
FBtr0073407	FBgn0030245
FBtr0073408	FBgn0030245
FBtr0084278	FBgn0014949
FBtr0085713	FBgn0000416
FBtr0085714	FBgn0000416
FBtr0079862	FBgn0004868
FBtr0306169	FBgn0004868
FBtr0077545	FBgn0031562
FBtr0075997	FBgn0036257
FBtr0078454	FBgn0037126
FBtr0089222	FBgn0039930
FBtr0084179	FBgn0038929
